player_id,first_name,last_name,position,jersey_number,team_id,age,height_inches,weight_lbs,shoots,birth_country,draft_year,draft_round,draft_pick,overall_rating,skating,shooting_accuracy,shooting_power,puck_handling,passing,checking,defense,hockey_iq,strength,conditioning
10001,Connor,McDavid,C,97,1011,28,73,193,L,CAN,2015,1,1,99,98,96,94,99,98,85,82,99,88,95
10002,Leon,Draisaitl,C,29,1011,29,74,208,L,GER,2014,1,3,96,92,97,96,95,96,88,84,96,92,94
10003,Evan,Bouchard,D,2,1011,25,75,193,R,CAN,2018,1,10,91,90,88,90,89,92,86,94,92,89,91
10004,Zach,Hyman,LW,18,1011,32,73,211,R,CAN,2010,5,123,89,88,90,88,87,88,89,86,90,92,90
10005,Ryan,Nugent-Hopkins,C,93,1011,31,73,184,L,CAN,2011,1,1,90,91,89,86,91,93,84,88,92,86,90
10006,Stuart,Skinner,G,74,1011,26,76,206,L,CAN,2017,3,78,88,85,0,0,92,0,0,90,88,87,90
10007,Auston,Matthews,C,34,1027,27,75,215,L,USA,2016,1,1,98,94,99,98,96,95,88,86,96,94,96
10008,William,Nylander,RW,88,1027,28,72,192,R,CAN,2014,1,8,94,96,95,92,96,94,82,80,90,87,93
10009,Mitch,Marner,RW,16,1027,27,72,180,R,CAN,2015,1,4,95,97,93,88,97,98,84,83,93,84,94
10010,John,Tavares,C,91,1027,34,73,215,L,CAN,2009,1,1,90,86,92,91,90,92,87,86,94,90,88
10011,Morgan,Rielly,D,44,1027,31,73,218,L,CAN,2012,1,5,89,92,85,86,88,91,85,90,88,89,89
10012,Joseph,Woll,G,60,1027,26,75,203,L,USA,2016,3,62,86,84,0,0,88,0,0,89,86,86,88
10013,Nathan,MacKinnon,C,29,1007,29,72,200,R,CAN,2013,1,1,98,99,96,95,97,96,87,85,97,90,97
10014,Cale,Makar,D,8,1007,26,72,187,R,CAN,2017,1,4,97,99,92,90,96,95,83,96,97,86,96
10015,Mikko,Rantanen,RW,96,1007,28,76,215,L,FIN,2015,1,10,95,93,96,95,94,96,87,88,94,92,94
10016,Devon,Toews,D,7,1007,30,74,191,L,CAN,2014,4,108,92,93,86,88,90,92,88,94,91,89,92
10017,Valeri,Nichushkin,RW,13,1007,29,76,210,L,RUS,2013,1,10,91,94,90,92,91,89,90,87,91,93,92
10018,Alexandar,Georgiev,G,40,1007,28,73,178,L,BUL,2017,0,0,87,85,0,0,89,0,0,88,87,86,89
10019,Nikita,Kucherov,RW,86,1026,31,71,178,L,RUS,2011,2,58,97,95,98,94,96,98,83,84,96,85,95
10020,Brayden,Point,C,21,1026,28,70,166,R,CAN,2014,3,79,94,97,94,90,95,95,85,88,93,82,95
